Модель,Hit Rate@5,Precision@5,Recall@5,MAP@5,NDCG@5
Baseline_system,0.4341429899365477,0.11816271268641637,0.059081356343208186,0.07586179256085897,0.13163755359234194
Content_system,0.12411591157094935,0.029543709331932264,0.014771854665966132,0.01676568457072034,0.031430411308721005
Collaborative_system,0.15113365396273692,0.033827749262417654,0.016913874631208827,0.01758288539519595,0.03515058631748991
Hybrid_system,0.29840763044093277,0.07360869740936832,0.03680434870468416,0.04464447857306444,0.08131312262876443
